bad,reason,job,loan,mortdue,value,yoj,derog,delinq,clage,ninq,clno,debtinc
0,HomeImp,ProfEx,4700,88026,115506,6,0,0,182.25,0,27,29.209
1,HomeImp,ProfEx,4700,26900,45000,9,1,2,90.47,1,16,33.7799181760068
0, ,Mgr,4800,67317,97191,3,0,0,137.32,0,23,34.275
0,DebtCon,ProfEx,4800,56067,63102,9,0,3,160.15,1,30,21.584
0,HomeImp,ProfEx,4800,80482,88342,7,0,0,275.03,0,11,43.718
0,DebtCon,ProfEx,4900,58688,63348,9,0,3,179.16,2,31,22.544
0, ,Mgr,4900,65873,90408,2,0,0,141.86,0,23,37.77
1,HomeImp,Other,4900,25597,23031,5,0,0,101.75,0,8,33.243
0,HomeImp,Other,4900,67794,84630,4,0,0,112.57,0,15,41.674
1,HomeImp,Other,4900,44000,59745,10,0,0,81.5,3,13,33.7799181760068
0,HomeImp, ,4900,73760.817199559,28437.5,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,DebtCon,Sales,4900,170986,245300,8.9222681359045,0,0,131.93,0,22,33.7799181760068
1,HomeImp,Other,4900,65576,65774,6,1,2,61.64,1,14,40.591
0,DebtCon,ProfEx,4900,57461,68494,8,0,4,183.64,0,30,22.795
0, , ,4900,73760.817199559,69706,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.706
0,HomeImp, ,5000,73760.817199559,34846,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.355
0,DebtCon, ,5000,47479,61690,5,.254569687738005,0,65.03,1.18605504587156,16,36.699
0,HomeImp,Other,5000,66839,87168,4,0,0,122.6,0,15,40.617
0,HomeImp,Self,5000,12457,53448,8.9222681359045,0,0,207.14,0,12,44.108
0,HomeImp,ProfEx,5000,90059,113714,7,0,0,193.64,0,28,25.897
1,HomeImp,Other,5000,22320,34900,10,0,0,65.7,1,5,33.7799181760068
1,HomeImp,Mgr,5000,40000,70500,.4,0,0,61.77,2,8,33.7799181760068
1,HomeImp,Mgr,5000,100882,102700,5,0,1,58.87,0,16,33.7799181760068
1,HomeImp,ProfEx,5000,31000,47350,12,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Office,5000,63125,126500,3,0,0,100.3,0,14,33.7799181760068
1,HomeImp,Mgr,5000,100000,129693.5,13,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,132000,17.5,0,2,121.9,0,14,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,9100,1,0,0,54.73,2,8,33.7799181760068
1,HomeImp,Other,5000,34200,50830,6,0,0,57,1,9,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,71277,10,0,0,72.43,1,12,33.7799181760068
1,HomeImp,Mgr,5000,123000,157500,9,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Other,5000,16600,25250,6,0,0,88.7,1,3,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,52000,8.9222681359045,0,1,285.33,0,6,33.7799181760068
1,HomeImp,Other,5000,22700,34225,4,0,0,74.63,3,9,33.7799181760068
1,HomeImp,Self,5000,6000,38575,7,0,1,335.03,3,42,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,74500,19,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,94119,19,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,DebtCon,Other,5000,73126,87500,1,0,0,125.97,2,10,33.7799181760068
0,DebtCon,Mgr,5000,72517,86250,19,0,1,300.37,1,24,33.7799181760068
0,HomeImp,ProfEx,5000,26037,35000,12,0,0,182.63,0,13,33.7799181760068
0,HomeImp,Office,5000,39000,50340,10,.254569687738005,.449442379182156,179.83,1.18605504587156,19,33.7799181760068
0,DebtCon,Other,5000,73760.817199559,26550,1.7,0,0,276.97,1,14,33.7799181760068
0,DebtCon, ,5000,70470,77908,5,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,HomeImp,Other,5000,73760.817199559,36375,3,0,0,266.8,1,26,33.7799181760068
0,DebtCon,ProfEx,5000,74225,89640,.3,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,HomeImp,Office,5000,73760.817199559,65400,1.5,0,0,51.77,0,4,33.7799181760068
1,HomeImp,Other,5000,73760.817199559,37500,8.9222681359045,0,3,107.13,10,5,33.7799181760068
0,DebtCon,ProfEx,5000,78565,98500,24,0,0,51.77,3,14,33.7799181760068
0,DebtCon,ProfEx,5000,59900,80800,15,0,0,219.13,1,18,33.7799181760068
1,HomeImp,Office,5000,10171,26809,13,3,6,228.3,0,24,33.7799181760068
1,HomeImp,Mgr,5000,78893,82600,16,0,0,133.9,1,34,33.7799181760068
1,HomeImp,Mgr,5000,85165,107940,6,5,3,122.77,5,28,33.7799181760068
1,DebtCon,ProfEx,5000,68000,75616,.1,0,0,131.87,0,30,33.7799181760068
1,DebtCon,ProfEx,5000,71571,85100,1.4,0,1,82.13,0,13,33.7799181760068
1,DebtCon,Other,5000,28000,36810,2,1,0,222.2,1,6,33.7799181760068
1,HomeImp,Other,5000,40000,32480,8,3,2,163.37,1,16,33.7799181760068
1,DebtCon,ProfEx,5000,81748,101776.04874145,14,1,2,144.07,2,17,33.7799181760068
0,HomeImp,Office,5000,44674,59375,10,.254569687738005,.449442379182156,178.69,1.18605504587156,19,26.448
1,HomeImp,Other,5000,61999,75021.3,5,0,0,97.1,0,23,33.7799181760068
0,DebtCon,Other,5000,80153,97275,1,0,0,120.68,2,10,37.513
0, ,Mgr,5000,68739,93435,3,0,0,148.72,0,23,36.669
0,DebtCon, ,5000,51209,55320,5,.254569687738005,1,69.11,1.18605504587156,15,35.025
1,HomeImp,Other,5000,46696,85202,2,1,2,148.34,0,14,46.49
0,HomeImp,Other,5000,73760.817199559,46281,2,0,0,257.65,0,26,40.953
0,HomeImp,Other,5000,66435,82819,2,0,0,125.13,0,14,42.184
0,DebtCon,Sales,5100,179725,251962,8.9222681359045,0,0,127.5,0,22,40.308
0,HomeImp,ProfEx,5100,85583,115341,7,0,0,177.96,1,28,26.258
0,HomeImp,Other,5100,72891,80691,1,1,0,273.88,0,6,39.852
1,HomeImp,Other,5100,30755,46735,10,0,0,69,0,17,33.7799181760068
0,DebtCon,Other,5100,73760.817199559,26715,1,0,0,258.79,0,14,26.722
0,HomeImp,ProfEx,5100,87258,121382,6,0,0,181.66,0,28,25.445
0,DebtCon,Other,5100,73760.817199559,28291,2,0,0,277.94,1,14,23.645
1,HomeImp,Other,5100,9900,30451,11,0,0,21.2,0,2,33.7799181760068
0,HomeImp,Other,5100,93000,116875,10,.254569687738005,.449442379182156,417.63,2,50,33.7799181760068
1,DebtCon,Other,5100,15500,34000,0,1,2,86.23,2,13,33.7799181760068
1,HomeImp,Sales,5100,129319,141875,7,1,0,157.86,0,36,25.651
0,HomeImp,Other,5100,66834,87361,0,2,0,290.03,0,6,38.767
0,DebtCon,Other,5100,73882,96031,0,0,0,125.79,1,10,34.446
0,DebtCon,Other,5100,74071,97064,0,0,0,121.08,2,9,36.402
0,HomeImp,Other,5100,62702,79784,2,0,0,108.07,0,15,43.29
0,DebtCon,Other,5200,73760.817199559,36425,2,0,0,266.81,1,14,23.797
0,HomeImp,Other,5200,67000,77000,9,0,1,119.7,0,25,33.7799181760068
0,HomeImp,Office,5200,43039,53521,11,.254569687738005,.449442379182156,184.3,1.18605504587156,19,24.415
0,DebtCon,Other,5200,19000,26000,0,1,0,17.2,10,7,33.7799181760068
1,DebtCon,Other,5200,73760.817199559,9500,1,0,1,81.1,1,2,33.7799181760068
0,HomeImp,Office,5200,91250,110000,24,0,0,123.77,1,12,33.7799181760068
0,HomeImp,Self,5200,16324,45187,8.9222681359045,0,0,221.12,0,11,42.712
1,HomeImp,Other,5200,40564,39527,0,0,0,157.77,1,13,72.67
0,DebtCon, ,5300,73698,84427,4,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,19.131
0,HomeImp,Sales,5300,66987,65111,4,1,0,175.33,1,22,40.443
1,HomeImp,Other,5300,26908,36078,8.9222681359045,0,0,302.36,0,8,39.197
0,HomeImp, ,5300,73760.817199559,49396,0,0,0,179.766275654635,0,0,12.044
0,HomeImp,Office,5300,44993,50673,7,.254569687738005,.449442379182156,184.74,1.18605504587156,18,27.906
1,HomeImp,Mgr,5300,51000,64000,10,1,0,98.33,0,12,33.7799181760068
0,DebtCon,Other,5300,75958,91703,0,0,0,124.18,1,10,34.599
0,HomeImp,Office,5300,97132,117343,22,0,0,109.93,1,11,35.839
0,HomeImp,Mgr,5300,60826,80826,10,.254569687738005,1,212.89,0,25,38.591
0,DebtCon,ProfEx,5300,83552,96809,0,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,28.424
0,HomeImp,Office,5300,47449,63895,19,0,0,208.16,0,20,19.762
0,HomeImp,Office,5300,50934,62957,21,0,0,197.24,0,20,19.351
0,DebtCon, ,5400,53429,64505,5,.254569687738005,0,69.54,1.18605504587156,16,36.48
0,HomeImp,Office,5400,73760.817199559,65474,1,0,0,40.71,0,4,37.849
0,HomeImp,Office,5400,47844,52040,8,.254569687738005,.449442379182156,189.03,1.18605504587156,18,24.701
1,DebtCon,Sales,5400,45509,57453,4,0,0,95.6,0,22,33.7799181760068
1,HomeImp,ProfEx,5400,59720,63450,5,0,1,199.9,1,20,33.7799181760068
0,HomeImp,ProfEx,5400,86922,119846,5,0,0,185.08,1,28,26.355
0,DebtCon,Sales,5400,68625,82304,2,0,0,136.63,0,30,32.05
0,HomeImp,Other,5400,65814,85848,4,0,0,122.94,0,15,44.092
0, , ,5400,73760.817199559,75254,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,23.164
1,HomeImp,ProfEx,5400,78300,88000,8,0,0,102.5,3,19,33.7799181760068
0,DebtCon, ,5400,48152,55760,6,.254569687738005,0,78.45,1.18605504587156,16,35.764
0,HomeImp,Other,5500,70481,82446,8,0,1,116.59,0,24,37.613
0,HomeImp, ,5500,73760.817199559,35402,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,35.272
0,DebtCon,ProfEx,5500,87765,101053,22,0,0,55.56,2,13,31.376
0,HomeImp,Office,5500,52897,65054,20,0,0,189.3,0,19,20.654
1,DebtCon,Other,5500,24700,35675,1,0,3,153.93,3,27,33.7799181760068
1,HomeImp,Other,5500,73760.817199559,43132,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.7799181760068
0,DebtCon, ,5500,43486,81600,4,0,0,216.13,4,30,33.7799181760068
1,DebtCon,Other,5500,21359,30000,7,3,2,130.8,3,14,33.7799181760068
1,HomeImp,Mgr,5500,73760.817199559,13770,5,0,1,167.37,1,8,33.7799181760068
0,HomeImp,ProfEx,5500,93051,115374,6,0,0,187.02,1,27,27.647
0,HomeImp,ProfEx,5500,87438,116679,6,0,0,186.42,1,27,28.418
0,DebtCon, ,5500,78059,78179,5,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,20.679
0,HomeImp,Sales,5500,72147,69918,4,2,0,158.53,0,23,43.404
1,HomeImp,Other,5500,40584,46645,4,0,1,136.32,0,13,34.495
1,HomeImp,Other,5500,73760.817199559,12972,1,0,1,82.29,0,2,36.987
1,HomeImp,Mgr,5500,37368,48502,9,0,2,49,0,10,33.126
0,HomeImp,Office,5500,73760.817199559,66251,1,0,0,43.72,0,3,41.452
0,HomeImp,Sales,5500,71644,72696,4,2,0,150.87,0,22,40.443
1,DebtCon,ProfEx,5500,85845,122205,5,0,0,172.21,1,26,32.677
0,HomeImp,Office,5600,53793,66379,22,0,0,206.1,0,19,18.37
0,DebtCon,ProfEx,5600,69435,83489,14,0,0,200.42,1,17,22.841
0,HomeImp,ProfEx,5600,29648,39907,11,0,0,180.56,0,13,21.555
0,HomeImp,Other,5600,76407,77485,9,0,0,91.68,0,24,37.773
1,HomeImp,Other,5600,5000,66700,31,1,1,204.07,0,11,33.7799181760068
1,HomeImp,Other,5600,55160,86800,3,1,1,148.13,1,14,33.7799181760068
0,HomeImp,Office,5600,41439,53893,8,.254569687738005,.449442379182156,181.32,1.18605504587156,19,24.651
0,HomeImp,Self,5600,15275,47954,8.9222681359045,0,0,204.34,0,12,42.398
0,HomeImp,Office,5700,100934,111496,23,0,0,117.5,0,12,38.751
0, , ,5700,73760.817199559,74685,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,24.275
0,HomeImp,Office,5700,49514,58249,21,0,0,212.54,0,21,21.258
0,HomeImp,Other,5700,76948,85753,7,0,0,128.48,0,25,37.86
0,HomeImp,ProfEx,5700,28127,36524,10,0,0,181.28,0,13,24.34
0,HomeImp,Office,5700,73760.817199559,68591,0,0,0,69.65,0,4,41.185
0,DebtCon,Other,5700,26927,35461,0,1,0,21.8,10,6,29.44
0,DebtCon, ,5700,49806,82242,3,0,0,210.35,3,30,31.243
1,DebtCon,Sales,5700,70000,84579,.1,0,0,95.9,1,17,33.7799181760068
1,HomeImp,ProfEx,5700,58400,75000,4,0,0,177.5,2,26,33.7799181760068
1,HomeImp,ProfEx,5700,80437,109647,9.5,0,0,104.4,0,14,33.7799181760068
1,DebtCon,Sales,5700,77213,92661,0,0,0,97.13,1,16,41.778
0,HomeImp,Other,5700,62319,82923,4,0,0,117.67,0,15,42.465
0,HomeImp,Other,5700,71556,79538,2,0,0,92.64,0,15,41.21
0,HomeImp,Other,5700,73760.817199559,39052,3,0,0,272.22,0,25,39.896
1,DebtCon,ProfEx,5700,74172,79846,0,0,0,157.01,0,28,47.415
0,DebtCon,Other,5700,28116,33450,0,1,0,15.4,9,7,30.017
0, , ,5700,73760.817199559,64910,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,33.85
0,HomeImp,Office,5700,73760.817199559,69172,1,0,0,48.85,0,3,38.774
0,HomeImp,Other,5800,73760.817199559,36385,2,0,0,266.55,1,25,43.31
0,HomeImp,Other,5800,73760.817199559,41119,2,0,0,261.41,0,26,42.192
0,DebtCon,Mgr,5800,75000,90543,18,0,0,300.49,1,23,38.941
0,DebtCon,Mgr,5800,79296,86885,19,0,1,307.97,1,23,39.959
1,DebtCon,Mgr,5800,27791,46833,3,0,0,83.29,1,13,30.188
0,DebtCon,Sales,5800,172595,250155,8.9222681359045,0,0,126.4,0,21,43.208
0,HomeImp, ,5800,73760.817199559,34704,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,34.174
0,HomeImp,Office,5800,73760.817199559,73804,1,0,0,71.77,0,4,41.287
0,HomeImp,Other,5800,46595,58191,5,0,0,80.13,0,17,24.14
1,DebtCon,Self,5900,73760.817199559,28000,1,2,1,36.77,1,8,33.7799181760068
0,HomeImp,Other,5900,70973,77989,7,0,0,120.38,0,24,41.443
1,HomeImp,Other,5900,73760.817199559,33100,8.9222681359045,0,0,238.6,1,2,33.7799181760068
0,HomeImp, ,5900,73760.817199559,51189,1,0,0,179.766275654635,0,0,12.749
0,DebtCon,ProfEx,5900,82912,91175,2,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,27.595
1,DebtCon,Other,5900,25972,41856,2,0,2,157.96,3,27,40.628
0,HomeImp,Other,5900,74187,78976,9,0,1,118.44,0,24,40.11
0, , ,5900,73760.817199559,66903,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,32.783
1,DebtCon,Mgr,5900,106650,101776.04874145,1,0,6,250.57,4,23,33.7799181760068
0, , ,6000,73760.817199559,69492,8.9222681359045,.254569687738005,.449442379182156,179.766275654635,1.18605504587156,21.2960962007668,32.977
0,HomeImp,Office,6000,95232,115977,22,0,0,149.02,1,12,37.954
1,HomeImp,Office,6000,47625,85925,.1,2,1,154.13,4,26,33.7799181760068
1,HomeImp,Other,6000,24600,30500,4.5,0,1,116.1,8,34,33.7799181760068
